Date:	Status:	Description:
12-31-2020 10:48:21 AM	Success	Connect to card dispenser successfully! Port: COM11
12-31-2020 10:48:21 AM	Warning	Status Flag status: True
12-31-2020 10:48:22 AM	Success	Success execute dispenser code. Code: Status
12-31-2020 10:48:22 AM	Warning	AutoEject Flag status: True
12-31-2020 10:48:22 AM	Success	Success execute dispenser code. Code: AutoEject
12-31-2020 10:48:22 AM	Warning	Initializing port for Arduino...
12-31-2020 10:48:22 AM	Success	Connect to Arduino port successfully. Port: COM3
12-31-2020 10:48:23 AM	Warning	Session request
12-31-2020 10:48:23 AM	Success	Response: {"accessKey":"99da07f1a4b0477c879635e0aebea2e6","id":"57ea3311fd204a22948d19c58a368748"}
12-31-2020 10:48:23 AM	Warning	Enable Flag status: True
12-31-2020 10:48:24 AM	Success	Success execute dispenser code. Code: Enable
12-31-2020 10:48:24 AM	Success	Vingcard IP Encoder Initialize successfully!
12-31-2020 10:48:27 AM	Warning	Arduino received data: not detected
12-31-2020 10:48:27 AM	Success	Running command successfully: Arduino TurnOff
12-31-2020 10:48:39 AM	Success	Running command successfully: Arduino TurnOff
12-31-2020 10:48:55 AM	Error	Status Code : GatewayTimeout
12-31-2020 10:48:55 AM	Error	Status Description : Gateway Timeout
12-31-2020 10:48:55 AM	Success	Running RFIDEncoder demo code
12-31-2020 10:48:55 AM	Success	Running command successfully: Arduino TurnOff
12-31-2020 10:49:10 AM	Error	Status Code : GatewayTimeout
12-31-2020 10:49:10 AM	Error	Status Description : Gateway Timeout
12-31-2020 10:49:10 AM	Success	Running RFIDEncoder demo code
12-31-2020 10:49:11 AM	Success	Running command successfully: Arduino TurnOff
12-31-2020 10:49:26 AM	Error	Status Code : GatewayTimeout
12-31-2020 10:49:26 AM	Error	Status Description : Gateway Timeout
12-31-2020 10:49:26 AM	Success	Running RFIDEncoder demo code
12-31-2020 10:49:27 AM	Success	Running command successfully: Arduino TurnOff
12-31-2020 10:49:42 AM	Error	Status Code : GatewayTimeout
12-31-2020 10:49:42 AM	Error	Status Description : Gateway Timeout
12-31-2020 10:49:42 AM	Success	Running RFIDEncoder demo code
12-31-2020 10:49:43 AM	Success	Running command successfully: Arduino TurnOff
12-31-2020 10:49:58 AM	Error	Status Code : GatewayTimeout
12-31-2020 10:49:58 AM	Error	Status Description : Gateway Timeout
12-31-2020 10:49:58 AM	Success	Running RFIDEncoder demo code
12-31-2020 10:49:59 AM	Success	Running command successfully: Arduino TurnOff
12-31-2020 10:50:14 AM	Error	Status Code : GatewayTimeout
12-31-2020 10:50:14 AM	Error	Status Description : Gateway Timeout
12-31-2020 10:50:14 AM	Success	Running RFIDEncoder demo code
12-31-2020 10:50:15 AM	Success	Running command successfully: Arduino TurnOff
12-31-2020 10:50:30 AM	Error	Status Code : GatewayTimeout
12-31-2020 10:50:30 AM	Error	Status Description : Gateway Timeout
12-31-2020 10:50:30 AM	Success	Running RFIDEncoder demo code
12-31-2020 10:50:31 AM	Success	Running command successfully: Arduino TurnOff
12-31-2020 10:50:46 AM	Error	Status Code : GatewayTimeout
12-31-2020 10:50:46 AM	Error	Status Description : Gateway Timeout
12-31-2020 10:50:46 AM	Success	Running RFIDEncoder demo code
12-31-2020 10:50:47 AM	Success	Running command successfully: Arduino TurnOff
